ID,Nom,SMILES,Masse_molaire,LogP,HBD,HBA,LD50_mg_kg,LogLD50,Toxicite,Source,Atomes,TPSA,Anneaux
1,Ethanol,CCO,46.069,-0.001,1,1,,,,,3,20.23,0
2,Methanol,CO,32.042,-0.392,1,1,3.7504,,PubChem/HSDB,,2,20.23,0
3,Acetone,CC(=O)C,58.08,0.595,0,1,3.7634,,PubChem/HSDB,,4,17.07,0
4,Acetic_acid,CC(=O)O,60.052,0.091,1,1,3.5198,,INRS,,4,37.3,0
5,Benzene,c1ccccc1,78.114,1.687,0,0,3.5193,,PubChem/HSDB,,6,0.0,1
6,Toluene,Cc1ccccc1,92.141,1.995,0,0,,,,,7,0.0,1
7,Phenol,Oc1ccccc1,94.113,1.392,1,1,2.7243,,PubChem/HSDB,,7,20.23,1
8,Aniline,Nc1ccccc1,93.129,1.269,1,1,,,,,7,26.02,1
9,Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,194.194,-1.029,0,3,2.2833,,PubChem/HSDB,,14,61.82,2
10,Aspirin,CC(=O)Oc1ccccc1C(=O)O,180.159,1.31,1,3,3.1761,,PubChem/HSDB,,13,63.6,1
11,Paracetamol,CC(=O)NC1=CC=C(C=C1)O,151.165,1.351,2,2,3.3802,,PubChem/HSDB,,11,49.33,1
12,Isoniazid,NNC(=O)C1=CC=NC=C1,137.142,-0.315,2,3,2.8129,,PubChem/HSDB,,10,68.01,1
13,Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.285,3.073,1,1,2.8035,,PubChem/HSDB,,15,37.3,1
14,Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,151.165,1.351,2,2,3.3802,,PubChem/HSDB,,11,49.33,1
15,Glucose,C(C1C(C(C(C(O1)O)O)O)O)O,180.156,-3.221,5,6,,,,,12,110.38,1
16,Fructose,C(C1C(C(C(C(O1)O)O)O)O)O,180.156,-3.221,5,6,,,,,12,110.38,1
17,Glycine,NCC(=O)O,75.067,-0.97,2,2,,,,,5,63.32,0
18,Alanine,CC(N)C(=O)O,89.094,-0.582,2,2,,,,,6,63.32,0
19,Valine,CC(C)C(N)C(=O)O,117.148,0.054,2,2,,,,,8,63.32,0
20,Leucine,CC(C)CC(N)C(=O)O,131.175,0.444,2,2,,,,,9,63.32,0
