Domaine;Table;Champ;Type;Unite;Description;Source;Statut_preuve;Obligatoire;Exemple
Identification;plantes;Plant_ID;texte;;Identifiant unique de la plante;SENTOX;documente;oui;PL001
Identification;plantes;Nom_scientifique;texte;;Nom scientifique accepté;Pharmacopée/Littérature;documente;oui;Acacia nilotica
Identification;plantes;Synonymes;texte;;Synonymes botaniques connus;Littérature;documente;non;Acacia arabica
Identification;plantes;Famille;texte;;Famille botanique;Pharmacopée;documente;non;Fabaceae
Identification;plantes;Partie_utilisee;texte;;Partie de la plante utilisée;Pharmacopée/Littérature;documente;non;Fruit
Identification;plantes;Pays;texte;;Pays ou zone d'origine;SENTOX/Littérature;documente;non;Sénégal
Identification;plantes;Statut;texte;;Statut de la donnée botanique;SENTOX;documente;non;Validé

Constituants;constituants_plantes;Constituant;texte;;Nom du constituant chimique;Littérature/PubChem;documente;oui;Quercétine
Constituants;constituants_plantes;Plant_ID;texte;;Identifiant de la plante source;SENTOX;documente;oui;PL001
Constituants;constituants_plantes;Classe_chimique;texte;;Classe chimique du constituant;Littérature;documente;non;Flavonoïde
Constituants;constituants_plantes;Partie_plante;texte;;Partie végétale contenant le constituant;Littérature;documente;non;Fruit
Constituants;constituants_plantes;Role_constituant;texte;;Rôle documenté ou supposé du constituant;Littérature;documente;non;Actif

Molecules;molecules;CID;entier;;Identifiant PubChem;PubChem;documente;non;5280343
Molecules;molecules;Nom_PubChem;texte;;Nom enregistré dans PubChem;PubChem;documente;non;Quercetin
Molecules;molecules;MolecularFormula;texte;;Formule moléculaire;PubChem;documente;non;C15H10O7
Molecules;molecules;MolecularWeight;nombre;g/mol;Masse moléculaire;PubChem;documente;non;302.24
Molecules;molecules;SMILES;texte;;Représentation moléculaire SMILES;PubChem;documente;non;C1=CC...
Molecules;molecules;InChI;texte;;Identifiant InChI;PubChem;documente;non;InChI=1S/...
Molecules;molecules;IUPACName;texte;;Nom IUPAC;PubChem;documente;non;...
Molecules;molecules;Structure_2D;texte;;Référence ou représentation 2D;PubChem/SENTOX;documente;non;Disponible
