Nom,Categorie,Plante,Partie_utilisee
Ethanol,Industrial,,
Methanol,Industrial,,
Acetone,Industrial,,
Benzene,Industrial,,
Toluene,Industrial,,
Phenol,Industrial,,
Aspirin,Drug,,
Paracetamol,Drug,,
Ibuprofen,Drug,,
Caffeine,Drug,,
Isoniazid,Drug,,
Glycine,Amino_acid,,
Alanine,Amino_acid,,
Valine,Amino_acid,,
Leucine,Amino_acid,,
Quercetin,Medicinal_plant_compound,,
Kaempferol,Medicinal_plant_compound,,
Rutin,Medicinal_plant_compound,,
Catechin,Medicinal_plant_compound,,
Epicatechin,Medicinal_plant_compound,,
