Plant_ID,Nom_scientifique,Famille,Partie_utilisee,Nom_commun,Activites_pharmacologiques,Donnees_securite,Source,Annee
PAO2020-001,Abrus precatorius,Fabaceae,"Graines; feuilles; racines","Abrus","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-002,Acanthospermum hispidum,Asteraceae,"Parties aériennes","Acanthospermum","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-003,Anacardium occidentale,Anacardiaceae,"Écorce; feuilles","Anacardier","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-004,Annona senegalensis,Annonaceae,"Racines; écorce; feuilles","Annona","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-005,Calotropis procera,Apocynaceae,"Feuilles; latex; racines","Pommier de Sodome","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-006,Cassia sieberiana,Fabaceae,"Racines; écorce; feuilles","Cassia","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-007,Chromolaena odorata,Asteraceae,"Feuilles; parties aériennes","Chromolaena","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-008,Chrysanthellum indicum,Asteraceae,"Parties aériennes","Chrysanthellum","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-009,Citrus paradisi,Rutaceae,"Écorce; feuilles; fruits","Pamplemousse","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-010,Cochlospermum tinctorium,Bixaceae,"Racines; rhizomes","Cochlospermum","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-011,Combretum glutinosum,Combretaceae,"Feuilles; écorce","Combretum","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-012,Daniellia oliveri,Fabaceae,"Écorce; feuilles","Daniellia","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-013,Euphorbia poissonii,Euphorbiaceae,"Latex; tiges","Euphorbia","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-014,Flueggea virosa,Phyllanthaceae,"Racines; feuilles; écorce","Flueggea","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-015,Gardenia ternifolia,Rubiaceae,"Racines; écorce; feuilles","Gardenia","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-016,Guiera senegalensis,Combretaceae,"Feuilles; écorce","Guiera","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-017,Jatropha gossypifolia,Euphorbiaceae,"Feuilles; racines; graines","Jatropha","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-018,Newbouldia laevis,Bignoniaceae,"Écorce; feuilles; racines","Newbouldia","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-019,Olax subscorpioidea,Olacaceae,"Racines; feuilles","Olax","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-020,Pavetta owariensis,Rubiaceae,"Feuilles; racines; écorce","Pavetta","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-021,Piliostigma thonningii,Fabaceae,"Écorce; feuilles; fruits","Piliostigma","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-022,Plumbago zeylanica,Plumbaginaceae,"Racines; feuilles","Plumbago","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-023,Polyalthia longifolia,Annonaceae,"Feuilles; écorce","Polyalthia","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-024,Sansevieria liberica,Asparagaceae,"Feuilles; rhizomes","Sansevieria","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-025,Strophanthus gratus,Apocynaceae,"Graines; feuilles","Strophanthus","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-026,Terminalia macroptera,Combretaceae,"Écorce; feuilles; racines","Terminalia","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-027,Thevetia peruviana,Apocynaceae,"Graines; feuilles","Laurier jaune","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-028,Vismia guineensis,Hypericaceae,"Écorce; feuilles; latex","Vismia","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
PAO2020-029,Vitex doniana,Lamiaceae,"Feuilles; écorce; fruits","Vitex","Voir monographie PAO","Voir monographie PAO","Pharmacopée de l'Afrique de l'Ouest - OOAS",2020
