Nom,Categorie,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES,Source_structure,Source_toxicologie,Plante,Partie_utilisee,Statut_donnees,RDKit_Masse_molaire,RDKit_LogP,RDKit_HBD,RDKit_HBA,RDKit_TPSA,Atomes_lourds,Anneaux,Liaisons_rotatables,LD50_mg_kg,LogLD50,Toxicite,Risque,RKdit_masse_molaire
CID_102,Industrial,102,C7H8O2,124.14,0.5,2,2,40.5,C1=CC(=CC(=C1)O)CO,PubChem,,,,Structure_PubChem,124.139,0.8845,2,2,40.46,9,1,1,,,,,124.139
CID_125,Industrial,125,C7H8O2,124.14,0.2,2,2,40.5,C1=CC(=CC=C1CO)O,PubChem,,,,Structure_PubChem,124.139,0.8845,2,2,40.46,9,1,1,,,,,124.139
CID_180,Industrial,180,C3H6O,58.08,-0.1,0,1,17.1,CC(=O)C,PubChem,,,,Structure_PubChem,58.08,0.5953,0,1,17.07,4,0,0,,,,,58.08
CID_241,Industrial,241,C6H6,78.11,2.1,0,0,0.0,C1=CC=CC=C1,PubChem,,,,Structure_PubChem,78.114,1.6866,0,0,0.0,6,1,0,,,,,78.114
CID_289,Industrial,289,C6H6O2,110.11,0.9,2,2,40.5,C1=CC=C(C(=C1)O)O,PubChem,,,,Structure_PubChem,110.112,1.0978,2,2,40.46,8,1,0,,,,,110.112
CID_323,Industrial,323,C9H6O2,146.14,1.4,0,2,26.3,C1=CC=C2C(=C1)C=CC(=O)O2,PubChem,,,,Structure_PubChem,146.145,1.793,0,2,30.21,11,2,0,,,,,146.145
CID_335,Industrial,335,C7H8O,108.14,2,1,1,20.2,CC1=CC=CC=C1O,PubChem,,,,Structure_PubChem,108.14,1.7006,1,1,20.23,8,1,0,,,,,108.14
CID_338,Industrial,338,C7H6O3,138.12,2.3,2,3,57.5,C1=CC=C(C(=C1)C(=O)O)O,PubChem,,,,Structure_PubChem,138.122,1.0904,2,2,57.53,10,1,1,,,,,138.122
CID_342,Industrial,342,C7H8O,108.14,2,1,1,20.2,CC1=CC(=CC=C1)O,PubChem,,,,Structure_PubChem,108.14,1.7006,1,1,20.23,8,1,0,,,,,108.14
CID_359,Industrial,359,C6H6O3,126.11,0.2,3,3,60.7,C1=C(C=C(C=C1O)O)O,PubChem,,,,Structure_PubChem,126.111,0.8034,3,3,60.69,9,1,0,,,,,126.111
CID_650,Industrial,650,C4H6O2,86.09,-1.3,0,2,34.1,CC(=O)C(=O)C,PubChem,,,,Structure_PubChem,86.09,0.1644,0,2,34.14,6,0,1,,,,,86.09
CID_660,Industrial,660,C9H8O2,148.16,1.6,0,2,26.3,C1CC(=O)OC2=CC=CC=C21,PubChem,,,,Structure_PubChem,148.161,1.5382,0,2,26.3,11,2,0,,,,,148.161
CID_702,Industrial,702,C2H6O,46.07,-0.1,1,1,20.2,CCO,PubChem,,,,Structure_PubChem,46.069,-0.0014,1,1,20.23,3,0,0,,,,,46.069
CID_785,Industrial,785,C6H6O2,110.11,0.6,2,2,40.5,C1=CC(=CC=C1O)O,PubChem,,,,Structure_PubChem,110.112,1.0978,2,2,40.46,8,1,0,,,,,110.112
CID_887,Industrial,887,CH4O,32.042,-0.5,1,1,20.2,CO,PubChem,,,,Structure_PubChem,32.042,-0.3915,1,1,20.23,2,0,0,,,,,32.042
CID_996,Industrial,996,C6H6O,94.11,1.5,1,1,20.2,C1=CC=C(C=C1)O,PubChem,,,,Structure_PubChem,94.113,1.3922,1,1,20.23,7,1,0,,,,,94.113
CID_1031,Industrial,1031,C3H8O,60.10,0.3,1,1,20.2,CCCO,PubChem,,,,Structure_PubChem,60.096,0.3887,1,1,20.23,4,0,1,,,,,60.096
