Nom,Categorie,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES,Source_structure,Source_toxicologie,Plante,Partie_utilisee,Statut_donnees,RDKit_Masse_molaire,RDKit_LogP,RDKit_HBD,RDKit_HBA,RDKit_TPSA,Atomes_lourds,Anneaux,Liaisons_rotatables,LD50_mg_kg,LogLD50,Toxicite,Risque,RKdit_masse_molaire,PubChem_CID,Formule_PubChem,Masse_molaire_PubChem,LogP_PubChem,HBD_PubChem,HBA_PubChem,TPSA_PubChem,Atomes_lourds_PubChem,Anneaux_PubChem,Liaisons_rotatables_PubChem,SMILES_isomerique,IUPAC_Name,PubChem_Statut,RDKit_Atomes_lourds,RDKit_Anneaux,RDKit_Liaisons_rotatables,Nom_original,Nom_PubChem,IUPAC_Name_PubChem,SMILES_PubChem,InChI_PubChem,InChIKey_PubChem
3-Hydroxybenzyl alcohol,Industrial,102,C7H8O2,124.14,0.5,2,2,40.5,C1=CC(=CC(=C1)O)CO,PubChem,,,,Structure_PubChem,124.139,0.8845,2,2,40.46,9,1,1,,,,,124.139,,C7H8O2,,,,,,,,,,,Trouvé,,,,CID_102,3-Hydroxybenzyl alcohol,3-(hydroxymethyl)phenol,C1=CC(=CC(=C1)O)CO,"InChI=1S/C7H8O2/c8-5-6-2-1-3-7(9)4-6/h1-4,8-9H,5H2",OKVJCVWFVRATSG-UHFFFAOYSA-N
4-Hydroxybenzyl Alcohol,Industrial,125,C7H8O2,124.14,0.2,2,2,40.5,C1=CC(=CC=C1CO)O,PubChem,,,,Structure_PubChem,124.139,0.8845,2,2,40.46,9,1,1,,,,,124.139,,C7H8O2,,,,,,,,,,,Trouvé,,,,CID_125,4-Hydroxybenzyl Alcohol,4-(hydroxymethyl)phenol,C1=CC(=CC=C1CO)O,"InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2",BVJSUAQZOZWCKN-UHFFFAOYSA-N
Acetone,Industrial,180,C3H6O,58.08,-0.1,0,1,17.1,CC(=O)C,PubChem,,,,Structure_PubChem,58.08,0.5953,0,1,17.07,4,0,0,,,,,58.08,,C3H6O,,,,,,,,,,,Trouvé,,,,CID_180,Acetone,propan-2-one,CC(=O)C,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,CSCPPACGZOOCGX-UHFFFAOYSA-N
Benzene,Industrial,241,C6H6,78.11,2.1,0,0,0.0,C1=CC=CC=C1,PubChem,,,,Structure_PubChem,78.114,1.6866,0,0,0.0,6,1,0,,,,,78.114,,C6H6,,,,,,,,,,,Trouvé,,,,CID_241,Benzene,benzene,C1=CC=CC=C1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N
Catechol,Industrial,289,C6H6O2,110.11,0.9,2,2,40.5,C1=CC=C(C(=C1)O)O,PubChem,,,,Structure_PubChem,110.112,1.0978,2,2,40.46,8,1,0,,,,,110.112,,C6H6O2,,,,,,,,,,,Trouvé,,,,CID_289,Catechol,"benzene-1,2-diol",C1=CC=C(C(=C1)O)O,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N
Coumarin,Industrial,323,C9H6O2,146.14,1.4,0,2,26.3,C1=CC=C2C(=C1)C=CC(=O)O2,PubChem,,,,Structure_PubChem,146.145,1.793,0,2,30.21,11,2,0,,,,,146.145,,C9H6O2,,,,,,,,,,,Trouvé,,,,CID_323,Coumarin,chromen-2-one,C1=CC=C2C(=C1)C=CC(=O)O2,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N
O-Cresol,Industrial,335,C7H8O,108.14,2.0,1,1,20.2,CC1=CC=CC=C1O,PubChem,,,,Structure_PubChem,108.14,1.7006,1,1,20.23,8,1,0,,,,,108.14,,C7H8O,,,,,,,,,,,Trouvé,,,,CID_335,O-Cresol,2-methylphenol,CC1=CC=CC=C1O,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",QWVGKYWNOKOFNN-UHFFFAOYSA-N
Salicylic Acid,Industrial,338,C7H6O3,138.12,2.3,2,3,57.5,C1=CC=C(C(=C1)C(=O)O)O,PubChem,,,,Structure_PubChem,138.122,1.0904,2,2,57.53,10,1,1,,,,,138.122,,C7H6O3,,,,,,,,,,,Trouvé,,,,CID_338,Salicylic Acid,2-hydroxybenzoic acid,C1=CC=C(C(=C1)C(=O)O)O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N
M-Cresol,Industrial,342,C7H8O,108.14,2.0,1,1,20.2,CC1=CC(=CC=C1)O,PubChem,,,,Structure_PubChem,108.14,1.7006,1,1,20.23,8,1,0,,,,,108.14,,C7H8O,,,,,,,,,,,Trouvé,,,,CID_342,M-Cresol,3-methylphenol,CC1=CC(=CC=C1)O,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",RLSSMJSEOOYNOY-UHFFFAOYSA-N
Phloroglucinol,Industrial,359,C6H6O3,126.11,0.2,3,3,60.7,C1=C(C=C(C=C1O)O)O,PubChem,,,,Structure_PubChem,126.111,0.8034,3,3,60.69,9,1,0,,,,,126.111,,C6H6O3,,,,,,,,,,,Trouvé,,,,CID_359,Phloroglucinol,"benzene-1,3,5-triol",C1=C(C=C(C=C1O)O)O,"InChI=1S/C6H6O3/c7-4-1-5(8)3-6(9)2-4/h1-3,7-9H",QCDYQQDYXPDABM-UHFFFAOYSA-N
Butanedione,Industrial,650,C4H6O2,86.09,-1.3,0,2,34.1,CC(=O)C(=O)C,PubChem,,,,Structure_PubChem,86.09,0.1644,0,2,34.14,6,0,1,,,,,86.09,,C4H6O2,,,,,,,,,,,Trouvé,,,,CID_650,Butanedione,"butane-2,3-dione",CC(=O)C(=O)C,InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3,QSJXEFYPDANLFS-UHFFFAOYSA-N
