Nom,Categorie,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES,Source_structure,LD50_mg_kg,LogLD50,Toxicite,Source_toxicologie,Plante,Partie_utilisee,Source_plante,Statut_donnee,RDKit_Masse_molaire,RDKit_LogP,RDKit_HBD,RDKit_HBA,RDKit_TPSA,Atomes,Atomes_lourds,Anneaux,Liaisons_rotatables
Ethanol,Industrial,702,C2H6O,46.07,-0.1,1,1,20.2,CCO,PubChem,,,,,,,,Structure disponible,46.069,-0.0014,1,1,20.23,3,3,0,0
Methanol,Industrial,887,CH4O,32.042,-0.5,1,1,20.2,CO,PubChem,,,,,,,,Structure disponible,32.042,-0.3915,1,1,20.23,2,2,0,0
Acetone,Industrial,180,C3H6O,58.08,-0.1,0,1,17.1,CC(=O)C,PubChem,,,,,,,,Structure disponible,58.08,0.5953,0,1,17.07,4,4,0,0
Benzene,Industrial,241,C6H6,78.11,2.1,0,0,0.0,C1=CC=CC=C1,PubChem,,,,,,,,Structure disponible,78.114,1.6866,0,0,0.0,6,6,1,0
Toluene,Industrial,1140,C7H8,92.14,2.7,0,0,0.0,CC1=CC=CC=C1,PubChem,,,,,,,,Structure disponible,92.141,1.995,0,0,0.0,7,7,1,0
Phenol,Industrial,996,C6H6O,94.11,1.5,1,1,20.2,C1=CC=C(C=C1)O,PubChem,,,,,,,,Structure disponible,94.113,1.3922,1,1,20.23,7,7,1,0
Aspirin,Drug,2244,C9H8O4,180.16,1.2,1,4,63.6,CC(=O)OC1=CC=CC=C1C(=O)O,PubChem,,,,,,,,Structure disponible,180.159,1.3101,1,3,63.6,13,13,1,2
Paracetamol,Drug,1983,C8H9NO2,151.16,0.5,2,2,49.3,CC(=O)NC1=CC=C(C=C1)O,PubChem,,,,,,,,Structure disponible,151.165,1.3506,2,2,49.33,11,11,1,1
Ibuprofen,Drug,3672,C13H18O2,206.28,3.5,1,2,37.3,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,PubChem,,,,,,,,Structure disponible,206.285,3.0732,1,1,37.3,15,15,1,4
Caffeine,Drug,2519,C8H10N4O2,194.19,-0.1,0,3,58.4,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,PubChem,,,,,,,,Structure disponible,194.194,-1.0293,0,3,61.82,14,14,2,0
Isoniazid,Drug,3767,C6H7N3O,137.14,-0.7,2,3,68.0,C1=CN=CC=C1C(=O)NN,PubChem,,,,,,,,Structure disponible,137.142,-0.3149,2,3,68.01,10,10,1,1
Glycine,Amino_acid,750,C2H5NO2,75.07,-3.2,2,3,63.3,C(C(=O)O)N,PubChem,,,,,,,,Structure disponible,75.067,-0.9703,2,2,63.32,5,5,0,1
Alanine,Amino_acid,5950,C3H7NO2,89.09,-3.0,2,3,63.3,CC(C(=O)O)N,PubChem,,,,,,,,Structure disponible,89.094,-0.5818,2,2,63.32,6,6,0,1
Valine,Amino_acid,6287,C5H11NO2,117.15,-2.3,2,3,63.3,CC(C)C(C(=O)O)N,PubChem,,,,,,,,Structure disponible,117.148,0.0543,2,2,63.32,8,8,0,2
Leucine,Amino_acid,6106,C6H13NO2,131.17,-1.5,2,3,63.3,CC(C)CC(C(=O)O)N,PubChem,,,,,,,,Structure disponible,131.175,0.4444,2,2,63.32,9,9,0,3
Quercetin,Medicinal_plant_compound,5280343,C15H10O7,302.23,1.5,5,7,127.0,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,PubChem,,,,,,,,Structure disponible,302.238,1.988,5,7,131.36,22,22,3,1
Kaempferol,Medicinal_plant_compound,5280863,C15H10O6,286.24,1.9,4,6,107.0,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,PubChem,,,,,,,,Structure disponible,286.239,2.2824,4,6,111.13,21,21,3,1
Rutin,Medicinal_plant_compound,5280805,C27H30O16,610.5,-1.3,10,16,266.0,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,PubChem,,,,,,,,Structure disponible,610.521,-1.6871,10,16,269.43,43,43,5,6
Catechin,Medicinal_plant_compound,9064,C15H14O6,290.27,0.4,5,6,110.0,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PubChem,,,,,,,,Structure disponible,290.271,1.5461,5,6,110.38,21,21,3,1
Epicatechin,Medicinal_plant_compound,72276,C15H14O6,290.27,0.4,5,6,110.0,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PubChem,,,,,,,,Structure disponible,290.271,1.5461,5,6,110.38,21,21,3,1
