Nom_recherche,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES
ethanol,702,C2H6O,46.07,-0.1,1,1,20.2,CCO
methanol,887,CH4O,32.042,-0.5,1,1,20.2,CO
acetone,180,C3H6O,58.08,-0.1,0,1,17.1,CC(=O)C
benzene,241,C6H6,78.11,2.1,0,0,0.0,C1=CC=CC=C1
phenol,996,C6H6O,94.11,1.5,1,1,20.2,C1=CC=C(C=C1)O
caffeine,2519,C8H10N4O2,194.19,-0.1,0,3,58.4,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
aspirin,2244,C9H8O4,180.16,1.2,1,4,63.6,CC(=O)OC1=CC=CC=C1C(=O)O
paracetamol,1983,C8H9NO2,151.16,0.5,2,2,49.3,CC(=O)NC1=CC=C(C=C1)O
ibuprofen,3672,C13H18O2,206.28,3.5,1,2,37.3,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
glycine,750,C2H5NO2,75.07,-3.2,2,3,63.3,C(C(=O)O)N
